ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,time_subset
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,24580.697783601652,5.404611143924463,8_weeks
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,109168.35460039706,24.00308205370859,8_weeks
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,90815.24842859729,19.967744936146747,8_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,537.5363636295239,0.11818928196069625,8_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,8_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642432062437502,8_weeks
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,16345.390277999999,3.593896285043923,8_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.7212284,0.18836914797985263,8_weeks
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4876.183452824714,1.0721369938707674,8_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,18802.078569351568,4.134053648902207,8_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,64.08989372219796,0.014091583439710334,8_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25682.19392576322,5.64679948118508,8_weeks
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,282.2504783159135,0.06205902264913982,8_weeks
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
23,utilitypv_losangeles,1,1896.4805169375356,0.0,1896.4805169375356,2.0265224634148677,5079.762677108172,1.1168983978764704,8_weeks
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
30,naturalgas_ccavgcf,2,8517.942579999999,0.0,8517.942579999999,9.10201914877702,74323.77659453807,16.341729383669897,8_weeks
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
38,utilitypv_losangeles,2,14979.434355499223,0.0,14979.434355499223,16.006576360556107,39499.91606563662,8.684931910063153,8_weeks
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,25004.105263425266,5.49770488463004,16_weeks
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,111106.17663403717,24.429147276347603,16_weeks
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,102566.44831011226,22.551499361125863,16_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,362.4247769712193,0.07968709320625679,16_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,16_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642428945888017,16_weeks
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,15291.390292500002,3.362149943706699,16_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,886.5202027500002,0.1949210498690019,16_weeks
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4992.6089432924655,1.097735363269966,16_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,20024.550882367166,4.402839855243509,16_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,51.212008719664006,0.011260091393937932,16_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25520.824895251244,5.6113171100604475,16_weeks
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,294.44783987000005,0.06474086196917203,16_weeks
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,-4.058280268826414e-15,-8.923025648016454e-19,16_weeks
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
23,utilitypv_losangeles,1,336.70031765239224,0.0,336.70031765239224,0.3597879076887813,908.0745159239822,0.1996602417566149,16_weeks
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
30,naturalgas_ccavgcf,2,5988.866069999994,0.0,5988.866069999994,6.39952349251466,52267.87083497738,11.4922460040589,16_weeks
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
38,utilitypv_losangeles,2,18900.747126622035,0.0,18900.747126622035,20.196774122032885,51629.64941564972,11.351918926663108,16_weeks
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
