ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,time_subset
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,24413.00768005749,5.367740758456999,8_weeks
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0,8_weeks
5,natural_gas_fired_combined_cycle,2,34373.290204083525,36734.21,-2360.919795916474,36.730271741751736,54207.25293492675,11.918665852076973,8_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,198.96067940460588,0.043745914561883426,8_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,8_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,41512.12387147817,9.127360388989333,8_weeks
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,16090.37999445802,3.5378266228895083,8_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,734.9341851350754,0.1615915675787653,8_weeks
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0,8_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,15845.551453749627,3.4839956425360503,8_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,21.56893260936664,0.004742407826229667,8_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25453.799487749726,5.596581902507489,8_weeks
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,256.22316294999996,0.05633634057105434,8_weeks
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
23,utilitypv_losangeles,1,2826.2372953629892,0.0,2826.2372953629892,3.0200328001485195,7030.932367996529,1.5459062945561928,8_weeks
